0,1,2,3,4
17.0,75.0,104.0,81.0,101.0
67.0,234.0,427.0,29.0,350.0
86.0,141.0,26.0,81.0,117.0
84.0,104.0,1.0,202.0,432.0
24.0,62.0,517.0,81.0,21.0
82.0,104.0,45.0,360.0,143.0
104.0,28.0,23.0,498.0,497.0
62.0,76.0,38.0,145.0,111.0
41.0,245.0,3.0,81.0,555.0
8.0,56.0,18.0,21.0,99.0
11.0,60.0,142.0,360.0,154.0
92.0,121.0,711.0,81.0,16.0
887.0,141.0,234.0,360.0,89.0
39.0,2.0,134.0,51.0,235.0
41.0,62.0,157.0,29.0,117.0
19.0,56.0,84.0,145.0,143.0
122.0,64.0,80.0,81.0,99.0
86.0,234.0,711.0,119.0,43.0
121.0,254.0,103.0,145.0,89.0
86.0,131.0,91.0,22.0,350.0
58.0,2.0,142.0,81.0,888.0
84.0,24.0,166.0,145.0,235.0
122.0,121.0,105.0,96.0,117.0
8.0,104.0,238.0,21.0,50.0
517.0,78.0,777.0,498.0,99.0
36.0,64.0,18.0,360.0,235.0
122.0,62.0,101.0,202.0,12.0
133.0,64.0,7.0,145.0,875.0
39.0,154.0,61.0,360.0,99.0
58.0,76.0,238.0,81.0,16.0
24.0,234.0,7.0,145.0,117.0
84.0,56.0,245.0,498.0,412.0
14.0,64.0,103.0,202.0,555.0
10.0,32.0,7.0,145.0,16.0
92.0,163.0,39.0,81.0,89.0
266.0,141.0,711.0,22.0,50.0
164.0,131.0,166.0,145.0,412.0
127.0,104.0,711.0,81.0,43.0
67.0,5.0,34.0,51.0,117.0
10.0,9.0,163.0,267.0,236.0
126.0,234.0,163.0,360.0,497.0
64.0,516.0,13.0,429.0,555.0
24.0,64.0,13.0,145.0,432.0
27.0,76.0,238.0,236.0,267.0
266.0,28.0,34.0,67.0,12.0
86.0,113.0,101.0,51.0,147.0
887.0,62.0,38.0,236.0,350.0
150.0,234.0,34.0,81.0,111.0
2.0,104.0,103.0,145.0,555.0
62.0,64.0,517.0,51.0,111.0
126.0,102.0,13.0,81.0,875.0
86.0,131.0,166.0,145.0,53.0
36.0,9.0,246.0,81.0,53.0
85.0,104.0,238.0,236.0,267.0
39.0,64.0,112.0,523.0,24.0
54.0,2.0,517.0,51.0,99.0
98.0,104.0,145.0,236.0,235.0
67.0,421.0,254.0,202.0,37.0
420.0,60.0,166.0,498.0,101.0
887.0,32.0,80.0,29.0,98.0
106.0,64.0,84.0,81.0,235.0
24.0,245.0,39.0,202.0,1.0
